,alpha, cz
0,-18.51428571428572,-0.8474576271186445
1,-17.142857142857146,-0.8870056497175138
2,-16.571428571428573,-0.9378531073446332
3,-16.114285714285714,-0.9943502824858754
4,-15.657142857142858,-1.0395480225988702
5,-15.085714285714287,-1.073446327683616
6,-13.485714285714288,-1.0621468926553677
7,-12.0,-0.9830508474576272
8,-10.742857142857147,-0.8587570621468927
9,-9.371428571428568,-0.7344632768361583
10,-8.685714285714283,-0.6610169491525424
13,-8.0,-0.5762711864406782
11,-7.314285714285717,-0.5197740112994351
12,-6.628571428571426,-0.4576271186440683
14,-5.828571428571429,-0.3672316384180791
15,-5.257142857142853,-0.2937853107344637
16,-4.342857142857142,-0.209039548022599
17,-3.4285714285714306,-0.1242937853107344
18,-2.857142857142854,-0.056497175141243
19,-2.057142857142857,0.0056497175141241
20,-1.3714285714285666,0.0734463276836159
21,-0.4571428571428555,0.1525423728813555
22,0.3428571428571416,0.2711864406779662
23,1.028571428571432,0.3446327683615817
24,2.057142857142864,0.4067796610169489
25,2.857142857142861,0.4971751412429372
32,3.4285714285714306,0.5988700564971747
26,4.800000000000004,0.6892655367231639
27,5.942857142857143,0.8022598870056497
28,6.628571428571433,0.8926553672316384
29,8.0,1.0282485875706215
30,9.14285714285714,1.152542372881356
31,10.17142857142857,1.231638418079096
33,10.742857142857147,1.327683615819209
34,11.885714285714291,1.4011299435028248
35,12.685714285714283,1.4519774011299431
36,13.714285714285715,1.5254237288135593
37,14.400000000000006,1.5988700564971747
38,15.314285714285717,1.5875706214689265
39,16.571428571428577,1.4745762711864403
40,17.028571428571432,1.3785310734463274
41,17.714285714285715,1.305084745762712
42,18.057142857142857,1.2598870056497176
43,18.74285714285714,1.2259887005649714
44,19.428571428571423,1.1694915254237284
45,20.34285714285715,1.152542372881356
46,20.457142857142863,1.1694915254237284
