alpha, cz
-18.514285714285716,-0.8474576271186445
-17.142857142857146,-0.8870056497175138
-16.571428571428573,-0.9378531073446332
-16.114285714285714,-0.9943502824858754
-15.657142857142858,-1.0395480225988702
-15.085714285714289,-1.073446327683616
-13.485714285714288,-1.0621468926553677
-12,-0.9830508474576272
-10.742857142857147,-0.8587570621468927
-9.371428571428567,-0.7344632768361583
-8.685714285714283,-0.6610169491525424
-7.314285714285717,-0.5197740112994351
-6.628571428571426,-0.45762711864406835
-8,-0.5762711864406782
-5.828571428571429,-0.36723163841807915
-5.257142857142853,-0.2937853107344637
-4.342857142857142,-0.20903954802259905
-3.4285714285714306,-0.12429378531073443
-2.857142857142854,-0.05649717514124308
-2.057142857142857,0.005649717514124131
-1.3714285714285666,0.07344632768361592
-0.4571428571428555,0.15254237288135553
0.34285714285714164,0.27118644067796627
1.028571428571432,0.34463276836158174
2.057142857142864,0.40677966101694896
2.857142857142861,0.49717514124293727
4.800000000000004,0.6892655367231639
5.942857142857143,0.8022598870056497
6.628571428571433,0.8926553672316384
8,1.0282485875706215
9.142857142857139,1.152542372881356
10.17142857142857,1.231638418079096
3.4285714285714306,0.5988700564971747
10.742857142857147,1.327683615819209
11.885714285714293,1.4011299435028248
12.685714285714283,1.4519774011299433
13.714285714285715,1.5254237288135593
14.400000000000006,1.5988700564971747
15.314285714285717,1.5875706214689265
16.571428571428577,1.4745762711864403
17.028571428571432,1.3785310734463274
17.714285714285715,1.305084745762712
18.057142857142857,1.2598870056497176
18.74285714285714,1.2259887005649714
19.428571428571423,1.1694915254237284
20.34285714285715,1.152542372881356
20.457142857142863,1.1694915254237284
