,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2121.9,0.0,44.844,0.0
1,0.05263157894736842,0.061,0.088,2139.18,3.209,44.844,3.07
2,0.10526315789473684,0.062,0.167,2121.9,6.366,44.844,5.778
3,0.15789473684210525,0.063,0.26,2104.98,9.472,44.844,8.925
4,0.21052631578947367,0.063,0.345,2104.98,12.63,44.844,11.842
5,0.2631578947368421,0.063,0.433,2104.98,15.787,44.844,14.863
6,0.3157894736842105,0.064,0.511,2088.48,18.796,44.844,17.403
7,0.3684210526315789,0.063,0.573,2104.98,22.102,44.844,19.669
8,0.42105263157894735,0.063,0.629,2104.98,25.26,44.844,21.591
9,0.47368421052631576,0.062,0.679,2121.9,28.645,44.844,23.494
10,0.5263157894736842,0.06,0.72,2156.94,32.354,44.844,25.325
11,0.5789473684210527,0.057,0.753,2212.98,36.514,44.844,27.174
12,0.631578947368421,0.054,0.782,2273.64,40.925,44.844,28.993
13,0.6842105263157894,0.05,0.807,2362.8,46.075,44.844,31.094
14,0.7368421052631579,0.045,0.831,2490.6600000000003,52.303,44.844,33.751
15,0.7894736842105263,0.041,0.843,2609.2799999999997,58.709,44.844,35.869
16,0.8421052631578947,0.036,0.841,2784.6,66.831,44.844,38.189
17,0.894736842105263,0.029,0.826,3102.54,79.115,44.844,41.79
18,0.9473684210526315,0.023,0.762,3483.78,94.063,44.844,43.289
19,1.0,0.018,0.614,3938.04,112.234,44.844,39.429
