,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2150.52,0.0,48.465,0.0
1,0.05263157894736842,0.061,0.088,2168.1,3.252,48.465,3.362
2,0.10526315789473684,0.062,0.167,2150.52,6.452,48.465,6.329
3,0.15789473684210525,0.063,0.26,2133.42,9.6,48.465,9.776
4,0.21052631578947367,0.063,0.345,2133.42,12.8,48.465,12.971
5,0.2631578947368421,0.063,0.433,2133.42,16.0,48.465,16.28
6,0.3157894736842105,0.064,0.511,2116.68,19.05,48.465,19.062
7,0.3684210526315789,0.063,0.573,2133.42,22.401,48.465,21.544
8,0.42105263157894735,0.063,0.629,2133.42,25.601,48.465,23.649
9,0.47368421052631576,0.062,0.679,2150.52,29.032,48.465,25.734
10,0.5263157894736842,0.06,0.72,2186.1000000000004,32.791,48.465,27.739
11,0.5789473684210527,0.057,0.753,2242.86,37.007,48.465,29.764
12,0.631578947368421,0.054,0.782,2304.36,41.478,48.465,31.758
13,0.6842105263157894,0.05,0.807,2394.72,46.697,48.465,34.059
14,0.7368421052631579,0.045,0.831,2524.2599999999998,53.01,48.465,36.969
15,0.7894736842105263,0.041,0.843,2644.56,59.502,48.465,39.289
16,0.8421052631578947,0.036,0.841,2822.22,67.733,48.465,41.83
17,0.894736842105263,0.029,0.826,3144.4199999999996,80.183,48.465,45.774
18,0.9473684210526315,0.023,0.762,3530.82,95.333,48.465,47.416
19,1.0,0.018,0.614,3991.2,113.75,48.465,43.189
