,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2130.24,0.0,52.372,0.0
1,0.05263157894736842,0.061,0.088,2147.64,3.221,52.372,3.599
2,0.10526315789473684,0.062,0.167,2130.24,6.391,52.372,6.775
3,0.15789473684210525,0.063,0.26,2113.2599999999998,9.51,52.372,10.464
4,0.21052631578947367,0.063,0.345,2113.2599999999998,12.679,52.372,13.885
5,0.2631578947368421,0.063,0.433,2113.2599999999998,15.849,52.372,17.426
6,0.3157894736842105,0.064,0.511,2096.7,18.87,52.372,20.404
7,0.3684210526315789,0.063,0.573,2113.2599999999998,22.189,52.372,23.061
8,0.42105263157894735,0.063,0.629,2113.2599999999998,25.359,52.372,25.315
9,0.47368421052631576,0.062,0.679,2130.24,28.758,52.372,27.546
10,0.5263157894736842,0.06,0.72,2165.46,32.482,52.372,29.692
11,0.5789473684210527,0.057,0.753,2221.68,36.658,52.372,31.86
12,0.631578947368421,0.054,0.782,2282.58,41.086,52.372,33.994
13,0.6842105263157894,0.05,0.807,2372.1,46.256,52.372,36.457
14,0.7368421052631579,0.045,0.831,2500.44,52.509,52.372,39.572
15,0.7894736842105263,0.041,0.843,2619.54,58.94,52.372,42.056
16,0.8421052631578947,0.036,0.841,2795.5800000000004,67.094,52.372,44.775
17,0.894736842105263,0.029,0.826,3114.72,79.426,52.372,48.997
18,0.9473684210526315,0.023,0.762,3497.52,94.432,52.372,50.755
19,1.0,0.018,0.614,3953.5199999999995,112.676,52.372,46.23
