,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2090.34,0.0,41.302,0.0
1,0.05263157894736842,0.061,0.088,2107.3799999999997,3.161,41.302,2.785
2,0.10526315789473684,0.062,0.167,2090.34,6.271,41.302,5.243
3,0.15789473684210525,0.063,0.26,2073.66,9.332,41.302,8.098
4,0.21052631578947367,0.063,0.345,2073.66,12.442,41.302,10.745
5,0.2631578947368421,0.063,0.433,2073.66,15.553,41.302,13.486
6,0.3157894736842105,0.064,0.511,2057.4,18.517,41.302,15.79
7,0.3684210526315789,0.063,0.573,2073.66,21.774,41.302,17.846
8,0.42105263157894735,0.063,0.629,2073.66,24.884,41.302,19.59
9,0.47368421052631576,0.062,0.679,2090.34,28.22,41.302,21.317
10,0.5263157894736842,0.06,0.72,2124.9,31.873,41.302,22.978
11,0.5789473684210527,0.057,0.753,2180.1,35.972,41.302,24.655
12,0.631578947368421,0.054,0.782,2239.86,40.317,41.302,26.306
13,0.6842105263157894,0.05,0.807,2327.7000000000003,45.39,41.302,28.212
14,0.7368421052631579,0.045,0.831,2453.64,51.526,41.302,30.623
15,0.7894736842105263,0.041,0.843,2570.52,57.837,41.302,32.545
16,0.8421052631578947,0.036,0.841,2743.2,65.837,41.302,34.649
17,0.894736842105263,0.029,0.826,3056.3999999999996,77.939,41.302,37.917
18,0.9473684210526315,0.023,0.762,3432.0,92.664,41.302,39.277
19,1.0,0.018,0.614,3879.5400000000004,110.566,41.302,35.775
