,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2248.2599999999998,0.0,64.814,0.0
1,0.05263157894736842,0.061,0.088,2266.62,3.4,64.814,4.701
2,0.10526315789473684,0.062,0.167,2248.2599999999998,6.745,64.814,8.849
3,0.15789473684210525,0.063,0.26,2230.38,10.037,64.814,13.667
4,0.21052631578947367,0.063,0.345,2230.38,13.382,64.814,18.136
5,0.2631578947368421,0.063,0.433,2230.38,16.728,64.814,22.762
6,0.3157894736842105,0.064,0.511,2212.86,19.916,64.814,26.651
7,0.3684210526315789,0.063,0.573,2230.38,23.419,64.814,30.121
8,0.42105263157894735,0.063,0.629,2230.38,26.764,64.814,33.065
9,0.47368421052631576,0.062,0.679,2248.2599999999998,30.352,64.814,35.98
10,0.5263157894736842,0.06,0.72,2285.46,34.282,64.814,38.783
11,0.5789473684210527,0.057,0.753,2344.7999999999997,38.69,64.814,41.614
12,0.631578947368421,0.054,0.782,2409.0600000000004,43.363,64.814,44.401
13,0.6842105263157894,0.05,0.807,2503.56,48.82,64.814,47.618
14,0.7368421052631579,0.045,0.831,2639.04,55.419,64.814,51.687
15,0.7894736842105263,0.041,0.843,2764.7400000000002,62.207,64.814,54.931
16,0.8421052631578947,0.036,0.841,2950.5,70.812,64.814,58.483
17,0.894736842105263,0.029,0.826,3287.4,83.828,64.814,63.998
18,0.9473684210526315,0.023,0.762,3691.3199999999997,99.666,64.814,66.294
19,1.0,0.018,0.614,4172.639999999999,118.921,64.814,60.383
