,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2203.2,0.0,56.358,0.0
1,0.05263157894736842,0.061,0.088,2221.2000000000003,3.332,56.358,4.006
2,0.10526315789473684,0.062,0.167,2203.2,6.61,56.358,7.54
3,0.15789473684210525,0.063,0.26,2185.62,9.835,56.358,11.646
4,0.21052631578947367,0.063,0.345,2185.62,13.114,56.358,15.453
5,0.2631578947368421,0.063,0.433,2185.62,16.392,56.358,19.395
6,0.3157894736842105,0.064,0.511,2168.52,19.517,56.358,22.709
7,0.3684210526315789,0.063,0.573,2185.62,22.949,56.358,25.666
8,0.42105263157894735,0.063,0.629,2185.62,26.228,56.358,28.175
9,0.47368421052631576,0.062,0.679,2203.2,29.743,56.358,30.658
10,0.5263157894736842,0.06,0.72,2239.62,33.594,56.358,33.047
11,0.5789473684210527,0.057,0.753,2297.8199999999997,37.914,56.358,35.46
12,0.631578947368421,0.054,0.782,2360.7599999999998,42.494,56.358,37.834
13,0.6842105263157894,0.05,0.807,2453.4,47.841,56.358,40.576
14,0.7368421052631579,0.045,0.831,2586.12,54.308,56.358,44.042
15,0.7894736842105263,0.041,0.843,2709.3,60.959,56.358,46.807
16,0.8421052631578947,0.036,0.841,2891.34,69.392,56.358,49.834
17,0.894736842105263,0.029,0.826,3221.46,82.147,56.358,54.533
18,0.9473684210526315,0.023,0.762,3617.34,97.668,56.358,56.489
19,1.0,0.018,0.614,4089.0000000000005,116.536,56.358,51.453
