,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,1978.0800000000002,0.0,31.475,0.0
1,0.05263157894736842,0.061,0.088,1994.22,2.991,31.475,2.009
2,0.10526315789473684,0.062,0.167,1978.0800000000002,5.934,31.475,3.781
3,0.15789473684210525,0.063,0.26,1962.3,8.83,31.475,5.839
4,0.21052631578947367,0.063,0.345,1962.3,11.774,31.475,7.748
5,0.2631578947368421,0.063,0.433,1962.3,14.717,31.475,9.725
6,0.3157894736842105,0.064,0.511,1946.88,17.522,31.475,11.387
7,0.3684210526315789,0.063,0.573,1962.3,20.604,31.475,12.869
8,0.42105263157894735,0.063,0.629,1962.3,23.548,31.475,14.127
9,0.47368421052631576,0.062,0.679,1978.0800000000002,26.704,31.475,15.372
10,0.5263157894736842,0.06,0.72,2010.78,30.161,31.475,16.57
11,0.5789473684210527,0.057,0.753,2062.98,34.039,31.475,17.78
12,0.631578947368421,0.054,0.782,2119.5,38.151,31.475,18.97
13,0.6842105263157894,0.05,0.807,2202.66,42.952,31.475,20.345
14,0.7368421052631579,0.045,0.831,2321.82,48.758,31.475,22.083
15,0.7894736842105263,0.041,0.843,2432.46,54.73,31.475,23.469
16,0.8421052631578947,0.036,0.841,2595.9,62.301,31.475,24.987
17,0.894736842105263,0.029,0.826,2892.2400000000002,73.752,31.475,27.343
18,0.9473684210526315,0.023,0.762,3247.68,87.687,31.475,28.324
19,1.0,0.018,0.614,3671.1000000000004,104.627,31.475,25.799
