,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2048.2799999999997,0.0,37.187,0.0
1,0.05263157894736842,0.061,0.088,2065.02,3.098,37.187,2.457
2,0.10526315789473684,0.062,0.167,2048.2799999999997,6.145,37.187,4.626
3,0.15789473684210525,0.063,0.26,2031.96,9.144,37.187,7.144
4,0.21052631578947367,0.063,0.345,2031.96,12.192,37.187,9.48
5,0.2631578947368421,0.063,0.433,2031.96,15.24,37.187,11.898
6,0.3157894736842105,0.064,0.511,2016.06,18.144,37.187,13.931
7,0.3684210526315789,0.063,0.573,2031.96,21.336,37.187,15.745
8,0.42105263157894735,0.063,0.629,2031.96,24.384,37.187,17.284
9,0.47368421052631576,0.062,0.679,2048.2799999999997,27.652,37.187,18.807
10,0.5263157894736842,0.06,0.72,2082.1800000000003,31.232,37.187,20.273
11,0.5789473684210527,0.057,0.753,2136.24,35.248,37.187,21.753
12,0.631578947368421,0.054,0.782,2194.7999999999997,39.506,37.187,23.209
13,0.6842105263157894,0.05,0.807,2280.9,44.477,37.187,24.891
14,0.7368421052631579,0.045,0.831,2404.2599999999998,50.489,37.187,27.018
15,0.7894736842105263,0.041,0.843,2518.7999999999997,56.673,37.187,28.714
16,0.8421052631578947,0.036,0.841,2688.06,64.513,37.187,30.57
17,0.894736842105263,0.029,0.826,2994.96,76.371,37.187,33.453
18,0.9473684210526315,0.023,0.762,3363.0,90.8,37.187,34.653
19,1.0,0.018,0.614,3801.48,108.342,37.187,31.563
