,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2018.58,0.0,34.612,0.0
1,0.05263157894736842,0.061,0.088,2035.08,3.053,34.612,2.254
2,0.10526315789473684,0.062,0.167,2018.58,6.056,34.612,4.243
3,0.15789473684210525,0.063,0.26,2002.5,9.011,34.612,6.553
4,0.21052631578947367,0.063,0.345,2002.5,12.015,34.612,8.695
5,0.2631578947368421,0.063,0.433,2002.5,15.019,34.612,10.913
6,0.3157894736842105,0.064,0.511,1986.84,17.881,34.612,12.778
7,0.3684210526315789,0.063,0.573,2002.5,21.026,34.612,14.442
8,0.42105263157894735,0.063,0.629,2002.5,24.03,34.612,15.853
9,0.47368421052631576,0.062,0.679,2018.58,27.251,34.612,17.251
10,0.5263157894736842,0.06,0.72,2051.94,30.78,34.612,18.595
11,0.5789473684210527,0.057,0.753,2105.28,34.737,34.612,19.953
12,0.631578947368421,0.054,0.782,2162.94,38.933,34.612,21.289
13,0.6842105263157894,0.05,0.807,2247.84,43.832,34.612,22.831
14,0.7368421052631579,0.045,0.831,2369.4,49.758,34.612,24.782
15,0.7894736842105263,0.041,0.843,2482.32,55.852,34.612,26.338
16,0.8421052631578947,0.036,0.841,2649.0600000000004,63.578,34.612,28.041
17,0.894736842105263,0.029,0.826,2951.52,75.264,34.612,30.685
18,0.9473684210526315,0.023,0.762,3314.2200000000003,89.484,34.612,31.786
19,1.0,0.018,0.614,3746.34,106.771,34.612,28.952
