,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2268.84,0.0,69.333,0.0
1,0.05263157894736842,0.061,0.088,2287.3799999999997,3.431,69.333,5.075
2,0.10526315789473684,0.062,0.167,2268.84,6.807,69.333,9.553
3,0.15789473684210525,0.063,0.26,2250.7799999999997,10.129,69.333,14.754
4,0.21052631578947367,0.063,0.345,2250.7799999999997,13.505,69.333,19.578
5,0.2631578947368421,0.063,0.433,2250.7799999999997,16.881,69.333,24.571
6,0.3157894736842105,0.064,0.511,2233.14,20.098,69.333,28.77
7,0.3684210526315789,0.063,0.573,2250.7799999999997,23.633,69.333,32.516
8,0.42105263157894735,0.063,0.629,2250.7799999999997,27.009,69.333,35.694
9,0.47368421052631576,0.062,0.679,2268.84,30.63,69.333,38.841
10,0.5263157894736842,0.06,0.72,2306.3999999999996,34.596,69.333,41.867
11,0.5789473684210527,0.057,0.753,2366.28,39.044,69.333,44.923
12,0.631578947368421,0.054,0.782,2431.14,43.76,69.333,47.932
13,0.6842105263157894,0.05,0.807,2526.48,49.267,69.333,51.404
14,0.7368421052631579,0.045,0.831,2663.1600000000003,55.927,69.333,55.797
15,0.7894736842105263,0.041,0.843,2790.06,62.776,69.333,59.299
16,0.8421052631578947,0.036,0.841,2977.5,71.46,69.333,63.133
17,0.894736842105263,0.029,0.826,3317.46,84.595,69.333,69.087
18,0.9473684210526315,0.023,0.762,3725.1,100.578,69.333,71.565
19,1.0,0.018,0.614,4210.86,120.009,69.333,65.185
